,Coal,Copper,Cotton,Hard_Logs,Iron_Ore,Lead,Nickel,Rubber
1/1/1992,39.5,2197.085799,57.08166631,191.6800028,14.31,514.8557739,7616.530599,36.88496399
4/1/1992,39.5,2243.307937,60.82166672,189.4033305,14.31,535.0084635,7318.08724,39.36961238
7/1/1992,39.5,2486.78973,60.56333669,187.5766652,14.31,637.7896322,7238.165365,39.87342962
10/1/1992,35.75,2212.065448,53.26916631,218.1033376,14.31,486.4013367,5889.135091,40.1958046
1/1/1993,32.33333333,2209.591855,59.76548386,290.6933339,12.58,419.1099854,5991.254395,40.04700597
4/1/1993,31,1870.281003,59.90777461,492.6800028,12.58,408.9441935,5769.869303,37.03915914
7/1/1993,31,1912.220398,56.21750005,433.8299967,12.58,385.2860718,4722.567708,37.11452993
10/1/1993,31,1667.731036,56.18690364,338.7166646,12.58,416.0275981,4748.976563,36.62825012
1/1/1994,30.5,1861.773433,76.56083171,302.8999939,11.45,475.6472371,5668.194173,38.94059881
4/1/1994,31.5,2129.653187,85.16249847,350.7666728,11.45,480.2518311,5923.388509,45.03174845
7/1/1994,33.1,2453.943013,78.08249919,330.2865601,11.45,587.5234375,6152.463053,57.13655217
10/1/1994,34.1,2776.756387,79.05694326,281.3333333,11.45,651.4463094,7583.684245,63.15715917
1/1/1995,37.68333333,2931.128677,101.7375005,262.1327159,12.27,608.2176514,8516.610514,78.89386241
4/1/1995,38.88,2884.714007,111.144165,290.8949992,12.27,603.9771525,7514.884603,77.08440399
7/1/1995,40.95333333,3009.003766,90.57569122,242.1693726,12.27,612.345459,8649.022786,60.31015142
10/1/1995,39.97,2903.299285,89.74583435,235.5314433,12.27,692.6375529,8213.723307,70.44820786
1/1/1996,39.22,2571.005534,85.3100001,244.5795848,12.97,765.0031942,8038.538086,70.5157547
4/1/1996,38.57666667,2476.845627,83.0049998,256.939682,12.97,816.525411,7934.338216,66.97329712
7/1/1996,38.28333333,1978.954479,77.30250041,260.6198222,12.97,798.0703939,7190.012533,59.86323929
10/1/1996,36.21666667,2146.739867,76.54116821,246.4444631,12.97,716.9026896,6853.486003,56.98800786
1/1/1997,34.77666667,2418.029521,80.26499939,237.2095744,13.04,680.9900106,7566.308594,55.61962636
4/1/1997,35.21,2504.634595,79.53249868,252.3967438,13.04,624.5037435,7283.04541,50.94302877
7/1/1997,36.36,2267.868434,80.67416636,244.1090546,13.04,624.5853271,6698.491699,41.1867218
10/1/1997,34.05,1910.215968,76.44299825,217.2541809,13.04,562.1779175,6151.036296,36.88665136
1/1/1998,32.24,1699.586386,69.80000051,198.3583069,13.41,535.0841064,5417.765137,33.9211216
4/1/1998,30.48666667,1729.459398,66.33266703,150.3208008,13.41,546.9960124,4954.91569,34.13739141
7/1/1998,27.76333333,1640.788166,68.14216614,140.6507365,13.41,529.9824626,4170.50944,30.84682147
10/1/1998,26.43333333,1544.995998,57.84666697,162.1101786,13.41,495.6116028,3951.155924,32.03585307
1/1/1999,26.1,1407.8091,56.22283384,175.2886231,11.93,503.7901515,4630.068182,30.82010058
4/1/1999,26.1,1465.44382,58.7125,178.3880564,11.93,517.7466906,5215.104067,27.10769592
7/1/1999,26.1,1678.533911,51.62198413,195.6731014,11.93,501.2839105,6385.627706,26.05921979
10/1/1999,25.26666667,1738.313598,45.94702381,198.7516708,11.93,484.2360793,7779.224175,31.34241915
1/1/2000,25.1,1796.891667,52.72411111,189.4352554,12.45,455.655,9384.8,31.18013305
4/1/2000,25.43333333,1739.692684,59.58166306,192.7427122,12.45,418.3944137,9417.910408,31.17283514
7/1/2000,26.11666667,1874.053209,60.30809351,192.1032139,12.45,471.242098,8279.351277,29.84103776
10/1/2000,28.35,1847.458333,63.57699362,185.9700089,12.45,471.3978788,7440.009091,28.99911635
1/1/2001,32.26666667,1765.113636,59.72780303,170.3735601,12.99,493.0306061,6562.630303,26.97651194
4/1/2001,33.73333333,1653.763757,49.53161376,163.8077997,12.99,462.7994709,6707.973545,27.29559995
7/1/2001,33.53333333,1473.626396,43.37833694,159.4312911,12.99,470.1956061,5515.277273,26.79332099
10/1/2001,29.71666667,1428.172109,39.34989466,145.8911596,12.99,479.4007091,5092.64144,23.27907023
1/1/2002,29.5,1558.995758,42.75280303,137.6327568,12.68,490.8954545,6214.837879,28.15610866
4/1/2002,28.04,1612.062867,41.58650794,152.2217531,12.68,454.1533911,6958.534151,33.55682983
7/1/2002,24.45,1516.711594,48.3342523,178.5435643,12.68,430.3007591,6846.501725,39.08250646
10/1/2002,26.25,1553.39058,52.36695527,181.2157309,12.68,433.6334023,7113.351967,38.01513978
1/1/2003,26.58928571,1662.716407,58.75875598,186.2921746,13.82,458.034596,8326.857792,44.67888236
4/1/2003,25.30357143,1641.358214,59.0275,181.9861687,13.82,456.0154762,8372.465873,45.76613288
7/1/2003,27.27678571,1753.073847,61.62575758,183.4374,13.82,509.3652503,9395.833597,47.92348883
10/1/2003,32.64732143,2060.297774,74.36276697,196.8915,13.82,633.4126708,12425.98578,58.12717463
1/1/2004,45.87053571,2724.4921,74.14429825,197.7527661,16.39,838.9511094,14658.40894,59.20705234
4/1/2004,60.44196429,2781.497568,68.03774436,195.0027287,16.39,804.9507576,12517.9563,62.59693934
7/1/2004,62.85714286,2854.72583,55.7219697,199.454423,16.39,926.7063492,14030.01696,57.9874197
10/1/2004,57.75,3093.166522,50.11998677,196.8123545,16.39,957.1681097,14077.65534,56.89806329
1/1/2005,54.95267857,3264.701587,53.22041353,192.0378486,28.11,976.2968254,15406.41825,57.39049112
4/1/2005,54.84375,3387.145599,55.59370851,199.9290152,28.11,982.8069841,16417.92172,62.82702474
7/1/2005,51.18262987,3750.348124,54.66121573,211.4255821,28.11,892.5723304,14568.0469,75.98162157
10/1/2005,42.28619357,4303.783586,57.19771356,209.0886546,28.11,1045.798557,12718.8715,76.27800166
1/1/2006,49.92507764,4947.503606,59.45673913,222.8998272,33.45,1239.823887,14853.59593,91.76850315
4/1/2006,56.03429705,7228.802549,56.33546746,237.3419885,33.45,1100.556397,19915.3771,111.3930394
7/1/2006,54.8252551,7679.876984,58.46644928,240.8744507,33.45,1193.036219,28785.73232,99.43576401
10/1/2006,50.13845694,7069.226077,57.95119617,256.6003218,33.45,1620.279904,32947.7512,79.649908
1/1/2007,56.23125,5957.595455,58.45194995,264.8315008,36.63,1782.797727,41341.68939,101.2813482
4/1/2007,59.8862782,7648.51086,57.73026107,261.9663748,36.63,2175.600251,47763.85965,106.0705209
7/1/2007,73.72727273,7717.495455,67.54369219,269.6479246,36.63,3138.55,30199.42121,97.00088877
10/1/2007,90.51199144,7202.918295,69.40886455,275.4768211,36.63,3219.533707,29238.39731,111.1873219
1/1/2008,126.0457048,7818.122579,76.16047885,293.4422898,60.8,2908.108481,28977.59258,124.9849855
4/1/2008,147.2675673,8454.102273,75.52405844,282.3393631,60.8,2303.824802,25665.29654,138.5328627
7/1/2008,177.6627612,7671.978458,76.30433136,277.7271643,60.8,1911.733432,19000.20672,136.7844791
10/1/2008,101.1191515,3909.724681,57.61058262,315.6791109,63.86086957,1249.617512,10922.76605,73.93751777
1/1/2009,77.27884122,3453.214881,54.80174603,313.5585657,70.72393939,1163.684163,10561.47655,66.44311409
4/1/2009,69.69962833,4681.708466,60.03787879,284.4826733,64.71046176,1503.923214,13018.97116,75.12467292
7/1/2009,76.21727837,5871.151515,64.37518445,279.6272666,87.44415898,1924.342045,17601.68712,90.14213272
10/1/2009,81.44291126,6655.135101,71.79332612,271.1426675,97.09711086,2285.798838,17507.47655,116.9618643
1/1/2010,99.46735248,7234.01529,81.07545455,253.6048435,131.099617,2213.561232,19977.75797,144.3644988
4/1/2010,105.7938055,7024.846404,89.9455848,253.5106174,159.1492063,1952.091627,22456.59848,169.2463471
7/1/2010,99.94189085,7260.941919,93.07568543,293.4971622,137.4439394,2039.871934,21229.14827,153.0580547
10/1/2010,113.1922078,8633.679834,150.0814574,312.0753239,159.1856798,2387.242424,23576.49242,196.2076347
1/1/2011,137.1964363,9639.165399,207.2566304,326.237952,178.7221739,2601.19058,26914.58261,258.9771938
4/1/2011,129.2834885,9160.425758,180.9288889,382.102947,175.7444613,2554.657786,24305.88283,240.4564052
7/1/2011,129.0043831,8982.863095,126.6674964,444.7158434,175.8844877,2453.917027,22030.07504,211.0686606
10/1/2011,122.9448253,7511.362734,103.5803319,408.9920583,140.8097475,1993.05312,18386.02837,163.5562793
1/1/2012,120.7345083,8324.729618,100.4546898,373.2590887,141.8021645,2092.723124,19654.36418,174.7485114
4/1/2012,102.3093131,7870.241627,90.27101276,361.0118603,139.5137161,1974.617544,17154.93939,162.8670799
7/1/2012,92.6673539,7727.478561,84.1719697,355.0808301,111.7339394,1985.641667,16373.45341,134.7157163
10/1/2012,90.06039147,7913.248908,82.06619513,352.6894311,121.0556549,2201.245311,16984.20092,140.4293015
1/1/2013,98.20540584,7922.346212,89.88810606,322.5313827,148.333266,2291.201136,17305.28939,143.1361603
4/1/2013,92.00062075,7156.704563,92.74590909,301.7754776,125.4051443,2051.983135,14952.60357,131.7697351
7/1/2013,82.5799024,7084.053451,91.80745342,301.0886586,132.8106729,2101.910214,13953.32333,117.4825623
10/1/2013,87.75045438,7162.858834,87.16098171,296.3412112,134.895671,2113.905095,13908.73803,114.6463278
1/1/2014,83.58475959,7030.238041,93.98708514,289.7847671,120.4407937,2101.426263,14660.96508,102.096564
4/1/2014,78.23460884,6795.276786,92.60420635,291.5148305,102.6644444,2097.117659,18467.82817,96.08159805
7/1/2014,73.27069523,6995.811281,77.07125823,286.4732027,91.64215133,2182.438422,18584.21588,83.35866057
10/1/2014,67.82586217,6632.260214,68.72441339,260.3919029,74.80108696,2000.850171,15860.48906,73.46819809
1/1/2015,67.9068004,5833.16039,68.84825758,249.8961889,63.68333333,1810.421302,14392.84266,78.59019693
4/1/2015,63.32460185,6056.62506,72.30597687,245.3833589,58.12770563,1942.212939,13055.83146,81.21753841
7/1/2015,63.21395539,5267.1,70.96889657,243.5813749,55.4948397,1716.964493,10578.88109,66.10476055
10/1/2015,56.32485312,4884.943001,69.54559885,245.2024098,47.2440586,1681.680736,9422.982864,57.01261969
1/1/2016,54.2152551,4674.734722,66.92619048,258.2391076,48.40986888,1738.046825,8507.679167,59.33550491
4/1/2016,55.13812925,4736.413835,71.21944805,275.7445398,56.3979798,1717.615512,8822.519805,75.21748602
7/1/2016,70.70639301,4779.593254,79.72900433,290.7180908,58.61272665,1872.650541,10263.54329,76.08826659
10/1/2016,100.2674482,5280.847908,78.98063131,272.8057952,70.84018759,2138.301714,10786.97406,87.29297362
1/1/2017,87.90920881,5840.034153,84.75618703,261.8435163,85.65461133,2278.347654,10273.14244,115.4129497
4/1/2017,85.30081942,5667.741222,86.81261424,268.0068434,63.29802372,2159.550024,9232.05273,93.20781034
7/1/2017,99.44046073,6349.303571,81.34458874,268.170706,70.18771567,2330.905303,10532.38528,82.03786413
10/1/2017,103.9018284,6822.680821,81.47986443,263.6966667,65.3975469,2489.85626,11600.95933,72.50377317
1/1/2018,109.7126708,6957.185281,90.48667749,274.9393313,74.91693017,2518.38447,13284.41667,77.79993292
4/1/2018,110.0409609,6880.881151,94.8077381,272.8890953,66.60697032,2383.208929,14470.08095,74.63784926
7/1/2018,123.6832955,6117.519318,93.69560606,266.9923482,67.95573123,2094.489773,13238.52197,65.91240711
10/1/2018,109.4862143,6163.607734,86.52412281,263.994978,71.07398519,1965.661258,11463.23597,63.29515135
1/1/2019,102.1427798,6226.351353,82.43802309,270.2313934,83.28714286,2035.462716,12411.52991,74.5166328
4/1/2019,85.31958333,6112.830754,81.67853175,270.882013,101.9369565,1884.625992,12244.34484,83.0309968
7/1/2019,71.51458888,5803.295376,72.54240856,277.4535924,101.7829538,2030.678054,15650.60939,71.86350411
10/1/2019,69.79599305,5898.104236,74.85730849,273.8454585,87.48966372,2035.259739,15349.15064,69.93154792
